2025-11-08  18:20:15.704 | error | wphxwuhw1043yp | worker exited with exit code 0
2025-11-08  18:20:13.502 | error | 1gi7x72p1osram | worker exited with exit code 0
2025-11-08  18:20:11.216 | error | wphxwuhw1043yp | worker exited with exit code 0
2025-11-08  18:20:03.784 | error | bo7px42s94iao4 | worker exited with exit code 0
2025-11-08  18:19:56.569 | error | 1gi7x72p1osram | worker exited with exit code 0
2025-11-08  18:19:56.244 | error | bo7px42s94iao4 | worker exited with exit code 0
2025-11-08  18:19:54.606 | error | wphxwuhw1043yp | worker exited with exit code 0
2025-11-08  18:19:39.488 | error | 1gi7x72p1osram | worker exited with exit code 0
2025-11-08  18:19:39.309 | error | bo7px42s94iao4 | worker exited with exit code 0
2025-11-08  18:19:38.024 | error | wphxwuhw1043yp | worker exited with exit code 0
2025-11-08  18:19:29.893 | error | 1gi7x72p1osram | worker exited with exit code 0
2025-11-08  18:19:29.703 | error | wphxwuhw1043yp | worker exited with exit code 0
2025-11-08  18:19:29.485 | error | bo7px42s94iao4 | worker exited with exit code 0
2025-11-08  18:19:26.204 | error | 1gi7x72p1osram | worker exited with exit code 0
2025-11-08  18:19:20.383 | error | 1gi7x72p1osram | worker exited with exit code 0
2025-11-08  18:19:18.209 | error | wphxwuhw1043yp | worker exited with exit code 0
2025-11-08  18:19:13.926 | error | wphxwuhw1043yp | worker exited with exit code 0
2025-11-08  18:19:12.515 | error | bo7px42s94iao4 | worker exited with exit code 0
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | <frozen runpy>:128: RuntimeWarning: 'runpod.serverless.worker' found in sys.modules after import of package 'runpod.serverless', but prior to execution of 'runpod.serverless.worker'; this may result in unpredictable behaviour\n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.\n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license\n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | By pulling and using the container, you accept the terms and conditions of this license:\n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | This container image and its contents are governed by the NVIDIA Deep Learning Container License.\n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.\n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | CUDA Version 11.8.0\n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | ==========\n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | == CUDA ==\n
2025-11-08  18:19:09.560 | info | wphxwuhw1043yp | ==========\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | <frozen runpy>:128: RuntimeWarning: 'runpod.serverless.worker' found in sys.modules after import of package 'runpod.serverless', but prior to execution of 'runpod.serverless.worker'; this may result in unpredictable behaviour\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | By pulling and using the container, you accept the terms and conditions of this license:\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | This container image and its contents are governed by the NVIDIA Deep Learning Container License.\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | CUDA Version 11.8.0\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | ==========\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | == CUDA ==\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | ==========\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | <frozen runpy>:128: RuntimeWarning: 'runpod.serverless.worker' found in sys.modules after import of package 'runpod.serverless', but prior to execution of 'runpod.serverless.worker'; this may result in unpredictable behaviour\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | By pulling and using the container, you accept the terms and conditions of this license:\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | This container image and its contents are governed by the NVIDIA Deep Learning Container License.\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | CUDA Version 11.8.0\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | ==========\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | == CUDA ==\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | ==========\n
2025-11-08  18:19:09.559 | info | wphxwuhw1043yp | \n
2025-11-08  18:19:08.721 | error | 1gi7x72p1osram | worker exited with exit code 0
2025-11-08  18:19:06.633 | error | wphxwuhw1043yp | worker exited with exit code 0
2025-11-08  18:19:02.378 | info | 1gi7x72p1osram | <frozen runpy>:128: RuntimeWarning: 'runpod.serverless.worker' found in sys.modules after import of package 'runpod.serverless', but prior to execution of 'runpod.serverless.worker'; this may result in unpredictable behaviour\n
2025-11-08  18:19:02.378 | info | 1gi7x72p1osram | \n
